date,staff_id,shift,available,preferred_shift,availability_reason
2023-01-01,S001,Lunch,True,Flexible,Regular availability
2023-01-01,S001,Dinner,True,Flexible,Regular availability
2023-01-02,S001,Lunch,True,Flexible,Regular availability
2023-01-02,S001,Dinner,True,Flexible,Regular availability
2023-01-03,S001,Lunch,True,Flexible,Regular availability
2023-01-03,S001,Dinner,True,Flexible,Regular availability
2023-01-04,S001,Lunch,True,Flexible,Regular availability
2023-01-04,S001,Dinner,True,Flexible,Regular availability
2023-01-05,S001,Lunch,True,Flexible,Regular availability
2023-01-05,S001,Dinner,True,Flexible,Regular availability
2023-01-06,S001,lunch,True,Flexible,Regular availability
2023-01-06,S001,Dinner,True,Flexible,Regular availability
2023-01-07,S001,Lunch,False,Flexible,Time off
2023-01-07,S001,Dinner,True,Flexible,Regular availability
2023-01-08,S001,Lunch,True,Flexible,Regular availability
2023-01-08,S001,Dinner,True,Flexible,Regular availability
2023-01-09,S001,Lunch,False,Flexible,Time off
2023-01-09,S001,Dinner,True,Flexible,Regular availability
2023-01-10,S001,Lunch,False,Flexible,Personal
2023-01-10,S001,Dinner,True,Flexible,Regular availability
2023-01-11,S001,Lunch,True,Flexible,Regular availability
2023-01-11,S001,Dinner,True,Flexible,Regular availability
2023-01-12,S001,Lunch,False,Flexible,Personal
2023-01-12,S001,Dinner,N,Flexible,Regular availability
2023-01-13,S001,Lunch,True,Flexible,Regular availability
2023-01-13,S001,Dinner,True,Flexible,Regular availability
2023-01-14,S001,Lunch,True,Flexible,Regular availability
2023-01-14,S001,Dinner,True,Flexible,Regular availability
2023-01-15,S001,Lunch,True,Flexible,Regular availability
2023-01-15,S001,Dinner,True,Flexible,Regular availability
2023-01-16,S001,Lunch,True,Flexible,Regular availability
2023-01-16,S001,Dinner,True,Flexible,Regular availability
2023-01-17,S001,Lunch,True,Flexible,Regular availability
2023-01-17,S001,Dinner,True,Flexible,Regular availability
2023-01-18,S001,Lunch,True,Flexible,Regular availability
2023-01-18,S001,Dinner,True,Flexible,Regular availability
2023-01-19,S001,Lunch,True,Flexible,Regular availability
2023-01-19,S001,Dinner,True,Flexible,Regular availability
2023-01-20,S001,Lunch,True,Flexible,Regular availability
2023-01-20,S001,Dinner,True,Flexible,Regular availability
2023-01-21,S001,Lunch,True,Flexible,Regular availability
2023-01-21,S001,Dinner,True,Dinner,Regular availability
2023-01-22,S001,Lunch,True,Flexible,Regular availability
2023-01-22,S001,Dinner,True,Flexible,Regular availability
2023-01-23,S001,Lunch,True,Flexible,Regular availability
2023-01-23,S001,Dinner,True,Flexible,Regular availability
2023-01-24,S001,Lunch,False,Flexible,Personal
2023-01-24,S001,Dinner,True,Flexible,Regular availability
2023-01-25,S001,Lunch,True,Flexible,Regular availability
2023-01-25,S001,Dinner,True,Flexible,Regular availability
2023-01-26,S001,Lunch,True,Flexible,Regular availability
2023-01-26,S001,Dinner,True,Flexible,Regular availability
2023-01-27,S001,Lunch,True,Flexible,Regular availability
2023-01-27,S001,Dinner,True,Flexible,Regular availability
2023-01-28,S001,Lunch,True,Dinner,
2023-01-28,S001,Dinner,False,Flexible,Personal
2023-01-29,S001,Lunch,False,Flexible,Personal
2023-01-29,S001,Dinner,True,Flexible,Regular availability
2023-01-30,S001,Lunch,True,Flexible,Regular availability
2023-01-30,S001,Dinner,False,Flexible,School
2023-01-31,S001,Lunch,True,Flexible,
2023-01-31,S001,Dinner,True,Flexible,Regular availability
2023-02-01,S001,Lunch,True,Flexible,Regular availability
2023-02-01,S001,Dinner,True,Flexible,Regular availability
2023-02-02,S001,Lunch,True,Flexible,Regular availability
2023-02-02,S001,Dinner,True,Flexible,Regular availability
2023-02-03,S001,Lunch,True,Flexible,Regular availability
2023-02-03,S001,Dinner,True,Flexible,Regular availability
2023-02-04,S001,Lunch,True,Flexible,Regular availability
2023-02-04,S001,Dinner,False,Flexible,Time off
2023-02-05,S001,Lunch,True,Flexible,Regular availability
2023-02-05,S001,Dinner,True,Flexible,Regular availability
2023-02-06,S001,Lunch,True,Flexible,Regular availability
2023-02-06,S001,Dinner,True,Flexible,Regular availability
2023-02-07,S001,Lunch,True,Flexible,Regular availability
2023-02-07,S001,Dinner,True,Flexible,Regular availability
2023-02-08,S001,Lunch,True,Flexible,Regular availability
2023-02-08,S001,Dinner,True,Flexible,Regular availability
2023-02-09,S001,Lunch,True,Flexible,Regular availability
2023-02-09,S001,Dinner,True,Flexible,Regular availability
2023-02-10,S001,Lunch,True,Flexible,Regular availability
2023-02-10,S001,Dinner,True,Flexible,Regular availability
2023-02-11,S001,Lunch,False,Flexible,Personal
2023-02-11,S001,Dinner,True,Flexible,Regular availability
2023-02-12,S001,Lunch,False,Flexible,School
2023-02-12,S001,Dinner,True,Flexible,Regular availability
2023-02-13,S001,Lunch,True,Flexible,Regular availability
2023-02-13,S001,Dinner,False,Flexible,School
2023-02-14,S001,Lunch,False,Flexible,Time off
2023-02-14,S001,Dinner,Yes,Flexible,Regular availability
2023-02-15,S001,Lunch,True,Flexible,Regular availability
2023-02-15,S001,Dinner,True,Flexible,Regular availability
2023-02-16,S001,Lunch,True,Flexible,Regular availability
2023-02-16,S001,Dinner,True,Flexible,Regular availability
2023-02-17,S001,Lunch,True,Flexible,Regular availability
2023-02-17,S001,Dinner,False,Flexible,Time off
2023-02-18,S001,Lunch,True,Flexible,Regular availability
2023-02-18,S001,Dinner,True,Flexible,Regular availability
2023-02-19,S001,Lunch,True,Flexible,Regular availability
2023-02-19,S001,Dinner,True,Flexible,Regular availability
2023-02-20,S001,Lunch,True,Flexible,Regular availability
2023-02-20,S001,Dinner,True,Flexible,Regular availability
2023-02-21,S001,Lunch,True,Flexible,Regular availability
2023-02-21,S001,Dinner,True,Flexible,Regular availability
2023-02-22,S001,Lunch,False,Flexible,School
2023-02-22,S001,Dinner,False,Flexible,Time off
2023-02-23,S001,Lunch,True,Flexible,Regular availability
2023-02-23,S001,Dinner,True,Flexible,Regular availability
2023-02-24,S001,Lunch,True,Flexible,Regular availability
2023-02-24,S001,Dinner,False,Flexible,Personal
2023-02-25,S001,Lunch,True,Flexible,Regular availability
2023-02-25,S001,Dinner,True,Flexible,Regular availability
2023-02-26,S001,Lunch,True,Flexible,Regular availability
2023-02-26,S001,Dinner,False,Flexible,Time off
2023-02-27,S001,Lunch,False,Flexible,School
2023-02-27,S001,Dinner,False,Flexible,Personal
2023-02-28,S001,Lunch,True,Flexible,Regular availability
2023-02-28,S001,Dinner,True,Flexible,Regular availability
2023-03-01,S001,Lunch,True,Flexible,Regular availability
2023-03-01,S001,Dinner,True,Flexible,Regular availability
2023-03-02,S001,Lunch,True,Flexible,Regular availability
2023-03-02,S001,Dinner,True,Flexible,Regular availability
2023-03-03,S001,Lunch,True,Flexible,Regular availability
not_a_date,S001,Dinner,True,Flexible,Regular availability
2023-03-04,S001,Lunch,True,Flexible,Regular availability
2023-03-04,S001,Dinner,True,Flexible,Regular availability
2023-03-05,S001,Lunch,True,Flexible,Regular availability
2023-03-05,S001,Dinner,False,Flexible,School
2023-03-06,S001,Lunch,True,Flexible,Regular availability
2023-03-06,S001,Dinner,True,Flexible,Regular availability
2023-03-07,S001,Lunch,True,Flexible,Regular availability
2023-03-07,S001,Dinner,True,Flexible,Regular availability
2023-03-08,S001,Lunch,True,Flexible,Regular availability
2023-03-08,S001,Dinner,True,Flexible,Regular availability
2023-03-09,S001,Lunch,True,Flexible,Regular availability
2023-03-09,S001,Dinner,False,Flexible,School
2023-03-10,S001,Lunch,True,Lunch,Regular availability
2023-03-10,S001,Dinner,True,Flexible,Regular availability
2023-03-11,S001,Lunch,True,Flexible,Regular availability
2023-03-11,S001,Dinner,True,Flexible,Regular availability
2023-03-12,S001,Lunch,True,Flexible,Regular availability
2023-03-12,S001,Dinner,True,Flexible,Regular availability
2023-03-13,S001,Lunch,True,Flexible,Regular availability
2023-03-13,S001,Dinner,True,Flexible,Regular availability
2023-03-14,S001,Lunch,True,Flexible,Regular availability
