date,day_of_week,shift,weekend,expected_orders,expected_sales,required_chefs,required_servers,estimated_labor_budget
2023-01-01,Sunday,Lunch,True,52,836.11,2,2.0,483.9
2023-01-01,Sunday,Dinner,True,78,1292.75,4,5.0,1370.62
2023-01-02,Monday,Lunch,False,16,368.1,1,1.0,241.95
2023-01-02,Monday,Dinner,False,37,523.36,3,3.0,990.77
2023-01-03,Tuesday,Lunch,False,16,179.84,1,1.0,241.95
2023-01-03,Tuesday,Dinner,False,38,643.14,3,3.0,990.77
2023-01-04,Wednesday,Lunch,False,26,475.76,1,1.0,241.95
2023-01-04,Wednesday,Dinner,False,53,627.69,3,3.0,990.77
2023-01-05,Thursday,Lunch,False,31,660.88,1,2.0,318.56
2023-01-05,Thursday,Dinner,False,50,887.12,3,3.0,990.77
2023-01-06,Friday,Lunch,False,39,831.37,1,2.0,318.56
2023-01-06,Friday,Dinner,False,81,1503.24,4,4.0,1255.69
2023-01-07,Saturday,Lunch,True,42,760.27,1,2.0,383.9
2023-01-07,Saturday,Dinner,True,84,1791.46,4,5.0,1370.62
2023-01-08,Sunday,Lunch,True,37,602.04,1,2.0,383.9
2023-01-08,Sunday,Dinner,True,54,951.53,3,4.0,1105.69
2023-01-09,Monday,Lunch,False,21,363.35,1,1.0,241.95
2023-01-09,Monday,Dinner,False,34,548.62,3,3.0,990.77
2023-01-10,Tuesday,Lunch,False,33,636.89,1,2.0,318.56
2023-01-10,Tuesday,Dinner,False,43,813.88,3,3.0,990.77
2023-01-11,Wednesday,Lunch,False,38,656.94,1,2.0,318.56
2023-01-11,Wednesday,Dinner,False,71,1121.97,4,4.0,1255.69
2023-01-12,Thursday,Lunch,False,39,710.47,1,2.0,318.56
2023-01-12,Thursday,Dinner,False,60,938.88,3,4.0,1105.69
2023-01-13,Friday,Lunch,False,50,805.38,2,2.0,418.56
2023-01-13,Friday,Dinner,False,65,998.15,3,4.0,1105.69
2023-01-14,Saturday,Lunch,True,61,1085.73,2,3.0,560.51
2023-01-14,Saturday,Dinner,True,101,1679.08,4,6.0,1485.54
2023-01-15,Sunday,Lunch,True,50,904.25,2,2.0,483.9
2023-01-15,Sunday,Dinner,True,56,930.1,3,5.0,1220.62
2023-01-16,Monday,Lunch,False,35,506.78,1,2.0,318.56
2023-01-16,Monday,Dinner,False,51,722.81,3,3.0,990.77
2023-01-17,Tuesday,Lunch,False,24,438.14,1,1.0,241.95
2023-01-17,Tuesday,Dinner,1,64,1252.29,3,4.0,1105.69
